COBERTURA DE VACUNACIÓN SRP-SR SSA — DURANGO 2026,,,,,
Fuente dosis aplicadas: SRP-SR-2025_22-02-2026.csv (SRP-SR SSA)  |  Metodología: Cobertura (%) = Dosis Aplicadas / Población Meta × 100,,,,,
Grupo de Edad,Población 2026,Población Meta,Dosis Aplicadas (CSV),Población Susceptible,Cobertura (%)
6 a 11 meses,0,6335,4241,2094,66.95
1 año,12669,12255,11339,916,92.53
18 meses,0,12255,9122,3133,74.43
Rezagados 2 a 12 años,0,38054,0,38054,0
13 a 19 años,0,30841,1308,29533,4.24
20 a 39 años,192899,96450,0,96450,0
40 a 49 años,80995,40498,8418,32080,20.79
TOTAL DURANGO,286563,236688,34428,202260,14.55
,,,,,
🟢 ≥ 95% Buena  |  🟡 80-94% Regular  |  🔴 < 80% Insuficiente,,,,,
