ESCUELA_MATCH,FECHA_VISITA,UNIDAD_MEDICA,JURISDICCION
FRANCISCO I MADERO,,El compás:,2
MARIA RIVERA,,El compás:,2
FRANCISCO SARABIA,,El compás:,2
28 DE OCTUBRE,,El compás:,2
GUADALUPE VICTORIA,,Ruben Jaramillo:,2
GUADALUPE VICTORIA,28 ABRIL,Ruben Jaramillo:,2
CONSTITUCION 1917,28 ABRIL,Ruben Jaramillo:,2
ADOLFO LOPEZ MATEOS,29 ABRIL,Ruben Jaramillo:,2
EMILIANO ZAPATA,29 ABRIL,Ruben Jaramillo:,2
ING PASTOR ROUAIX,,Pastor roux:,2
16 DE SEPTIEMBRE,27 ABRIL,Pastor roux:,2
DURANGO,29 ABRIL,Pastor roux:,2
RAFAEL RAMIREZ,29 ABRIL,Pastor roux:,2
BENITO JUAREZ,28 ABRIL,Pastor roux:,2
19 DE OCTUBRE,29 ABRIL,Pastor roux:,2
GENERAL JESUS GARCIA GUTIERREZ,29 ABRIL,Pastor roux:,2
20 DE NOVIEMBRE,30 ABRIL,Pastor roux:,2
18 DE MARZO,30 ABRIL,Pastor roux:,2
LUIS PASTEUR,27 ABRIL,Santa cruz luja:,2
VICENTE GUERRERO,28 ABRIL,Santa cruz luja:,2
FRANCISCO VILLA,28 ABRIL,Santa cruz luja:,2
FELIPE ANGELES,,Felipe ángeles:,2
FELIPE ANGELES,29 ABRIL,Felipe ángeles:,2
PROFA. MINERVA MARTINEZ,29 ABRIL,Felipe ángeles:,2
VICENTE GUERRERO,29 ABRIL,Horizonte:,2
EMILIANO ZAPATA,29 ABRIL,Horizonte:,2
GABRIELA MISTRAL,28 ABRIL,Lucero:,2
BASILIO BADILLO,29 ABRIL,Lucero:,2
JOSE MARIA MORELOS,29 ABRIL,Lucero:,2
15 DE NOVIEMBRE,,15 diciembre:,2
7 DE JUNIO DE 1939,29 ABRIL,Brittiham:,2
TLAHUISCALLI,,Tlahualilo:,2
HEROE DE NACOZARI,27 ABRIL,Tlahualilo:,2
CARLOS MARX,29 ABRIL,Tlahualilo:,2
6 DE OCTUBRE,29 ABRIL,Tlahualilo:,2
HEROE DE NACOZARI,29 ABRIL,Tlahualilo:,2
FRANCISCO GONZALEZ DE LA VEGA,,Fco glz de la vega:,2
LA ESPERANZA,29 ABRIL,Fco glz de la vega:,2
JOSE MARIA MORELOS,29 ABRIL,California:,2
RAFAEL RAMIREZ,27 ABRIL,Banco nacional:,2
MARIANO MATAMOROS,28 ABRIL,Banco nacional:,2
NELLIE CAMPOBELLO,28 ABRIL,Banco nacional:,2
GREGORIO TORRES QUINTERO,29 ABRIL,Banco nacional:,2
LEONA VICARIO,29 ABRIL,Banco nacional:,2
FRANCISCO VILLA,30 ABRIL,Banco nacional:,2
INDEPENDENCIA,,Independencia:,2
JOSE REBOLLO ACOSTA,28 ABRIL,Independencia:,2
INDEPENDENCIA,29 ABRIL,Independencia:,2
ALMA CAMPESINA,,La campana:,2
FRANCISCO GOMEZ PALACIO,27 ABRIL,La campana:,2
LIC. BENITO JUAREZ,29 ABRIL,La campana:,2
GERVASIO GARCIA,,Gregorio García:,2
EMILIANO ZAPATA,27 ABRIL,Gregorio García:,2
GENERAL GREGORIO A GARCIA,29 ABRIL,Gregorio García:,2
13 DE MARZO,29 ABRIL,La popular:,2
BENITO JUAREZ,28  ABRIL,La popular:,2
13 DE MARZO,30 ABRIL,La popular:,2
FRANCISCO ZARCO,27- ABRIL,Ceballos:,2
FRANCISCO ZARCO,28 ABRIL,Ceballos:,2
FRANCISCO MARQUEZ,27- ABRIL,JARALITO,2
GUADALUPE VICTORIA,,JARALITO,2
FRANCISCO GONZALEZ DE LA VEGA,29 ABRIL,JARALITO,2
ISAURO VENZOR,,ISAURO VENZOR:,2
IGNACIO M ALTAMIRANO,27- ABRIL,ISAURO VENZOR:,2
HECTOR MAYAGOITIA DOMINGUEZ,27- ABRIL,,2
LIBERTAD UNIVERSAL,28 ABRIL,,2
JUAN ESCUTIA,,,2
POETISA ADELA AYALA,29 ABRIL,,2
JOSE REBOLLO ACOSTA,29 ABRIL,,2
LAZARO CARDENAS,30 ABRIL,,2
DOÑA JOSEFA ORTIZ DE DOMINGUEZ,30 ABRIL,,2
